+-----+--------------------------------------------+-----------------------------------------+------------+----------------------------------------------------------------+-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
|  ID | Registry name                              | Biome name                              | BiomeType  | BiomeDictionary.Type                                           | Spawns                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                |
| 235 | byg:rockybeach                             | Rocky Beach                             |            | BEACH, OVERWORLD                                               | { minecraft:creeper [weight: 100, min: 4, max: 4] }; { minecraft:enderman [weight: 10, min: 1, max: 4] }; { minecraft:skeleton [weight: 100, min: 4, max: 4] }; { minecraft:slime [weight: 100, min: 4, max: 4] }; { minecraft:spider [weight: 100, min: 4, max: 4] }; { minecraft:witch [weight: 5, min: 1, max: 1] }; { minecraft:zombie [weight: 95, min: 4, max: 4] }; { minecraft:zombie_villager [weight: 5, min: 1, max: 1] }; { quark:stoneling [weight: 80, min: 1, max: 1] }; { quark:toretoise [weight: 40, min: 1, max: 1] }; { betteranimalsplus:crab [weight: 10, min: 1, max: 3] }; { betteranimalsplus:horseshoecrab [weight: 8, min: 1, max: 3] }; { quark:crab [weight: 5, min: 1, max: 3] }; { minecraft:bat [weight: 10, min: 8, max: 8] }                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        |
| 236 | byg:snowyrockyblackbeach                   | Snowy Rocky Black Beach                 |            | BEACH, OVERWORLD, SNOWY                                        | { minecraft:creeper [weight: 100, min: 4, max: 4] }; { minecraft:enderman [weight: 10, min: 1, max: 4] }; { minecraft:skeleton [weight: 100, min: 4, max: 4] }; { minecraft:slime [weight: 100, min: 4, max: 4] }; { minecraft:spider [weight: 100, min: 4, max: 4] }; { minecraft:witch [weight: 5, min: 1, max: 1] }; { minecraft:zombie [weight: 95, min: 4, max: 4] }; { minecraft:zombie_villager [weight: 5, min: 1, max: 1] }; { quark:stoneling [weight: 80, min: 1, max: 1] }; { quark:toretoise [weight: 40, min: 1, max: 1] }; { betteranimalsplus:crab [weight: 10, min: 1, max: 3] }; { betteranimalsplus:horseshoecrab [weight: 8, min: 1, max: 3] }; { betteranimalsplus:reindeer [weight: 10, min: 1, max: 4] }; { quark:crab [weight: 5, min: 1, max: 3] }; { minecraft:bat [weight: 10, min: 8, max: 8] }                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           |
| 237 | byg:snowyblackbeach                        | Snowy Black Beach                       |            | BEACH, OVERWORLD, SNOWY                                        | { minecraft:creeper [weight: 100, min: 4, max: 4] }; { minecraft:enderman [weight: 10, min: 1, max: 4] }; { minecraft:skeleton [weight: 100, min: 4, max: 4] }; { minecraft:slime [weight: 100, min: 4, max: 4] }; { minecraft:spider [weight: 100, min: 4, max: 4] }; { minecraft:witch [weight: 5, min: 1, max: 1] }; { minecraft:zombie [weight: 95, min: 4, max: 4] }; { minecraft:zombie_villager [weight: 5, min: 1, max: 1] }; { quark:stoneling [weight: 80, min: 1, max: 1] }; { quark:toretoise [weight: 40, min: 1, max: 1] }; { betteranimalsplus:crab [weight: 10, min: 1, max: 3] }; { betteranimalsplus:horseshoecrab [weight: 8, min: 1, max: 3] }; { betteranimalsplus:reindeer [weight: 10, min: 1, max: 4] }; { quark:crab [weight: 5, min: 1, max: 3] }; { minecraft:bat [weight: 10, min: 8, max: 8] }                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           |
| 238 | byg:whitebeach                             | White Beach                             |            | BEACH, OVERWORLD                                               | { minecraft:creeper [weight: 100, min: 4, max: 4] }; { minecraft:enderman [weight: 10, min: 1, max: 4] }; { minecraft:skeleton [weight: 100, min: 4, max: 4] }; { minecraft:slime [weight: 100, min: 4, max: 4] }; { minecraft:spider [weight: 100, min: 4, max: 4] }; { minecraft:witch [weight: 5, min: 1, max: 1] }; { minecraft:zombie [weight: 95, min: 4, max: 4] }; { minecraft:zombie_villager [weight: 5, min: 1, max: 1] }; { quark:stoneling [weight: 80, min: 1, max: 1] }; { quark:toretoise [weight: 40, min: 1, max: 1] }; { betteranimalsplus:crab [weight: 10, min: 1, max: 3] }; { betteranimalsplus:horseshoecrab [weight: 8, min: 1, max: 3] }; { quark:crab [weight: 5, min: 1, max: 3] }; { minecraft:bat [weight: 10, min: 8, max: 8] }                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        |
| 239 | byg:rainbowbeach                           | Rainbow Beach                           |            | BEACH, OVERWORLD, WET                                          | { minecraft:creeper [weight: 100, min: 4, max: 4] }; { minecraft:enderman [weight: 10, min: 1, max: 4] }; { minecraft:skeleton [weight: 100, min: 4, max: 4] }; { minecraft:slime [weight: 100, min: 4, max: 4] }; { minecraft:spider [weight: 100, min: 4, max: 4] }; { minecraft:witch [weight: 5, min: 1, max: 1] }; { minecraft:zombie [weight: 95, min: 4, max: 4] }; { minecraft:zombie_villager [weight: 5, min: 1, max: 1] }; { quark:stoneling [weight: 80, min: 1, max: 1] }; { quark:toretoise [weight: 40, min: 1, max: 1] }; { betteranimalsplus:crab [weight: 10, min: 1, max: 3] }; { betteranimalsplus:horseshoecrab [weight: 8, min: 1, max: 3] }; { quark:crab [weight: 5, min: 1, max: 3] }; { minecraft:bat [weight: 10, min: 8, max: 8] }                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        |
| 240 | byg:tropicalisland                         | Tropical Island                         |            | JUNGLE, OVERWORLD, WET                                         | { quark:stoneling [weight: 80, min: 1, max: 1] }; { quark:toretoise [weight: 40, min: 1, max: 1] }; { betteranimalsplus:boar [weight: 9, min: 1, max: 4] }; { minecraft:chicken [weight: 10, min: 4, max: 4] }; { minecraft:chicken [weight: 10, min: 4, max: 4] }; { minecraft:cow [weight: 8, min: 4, max: 4] }; { minecraft:parrot [weight: 40, min: 1, max: 2] }; { minecraft:pig [weight: 10, min: 4, max: 4] }; { minecraft:sheep [weight: 12, min: 4, max: 4] }; { betteranimalsplus:butterfly [weight: 10, min: 1, max: 3] }; { minecraft:bat [weight: 10, min: 8, max: 8] }; { betteranimalsplus:piranha [weight: 7, min: 1, max: 5] }                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       |
| 241 | byg:warpeddesert                           | Warped Desert                           |            | NETHER                                                         | { doomweapon:arachnotron [weight: 30, min: 1, max: 4] }; { doomweapon:archvile [weight: 4, min: 1, max: 2] }; { doomweapon:baron [weight: 10, min: 1, max: 1] }; { doomweapon:cacodemon [weight: 8, min: 1, max: 2] }; { doomweapon:chaingunner [weight: 30, min: 1, max: 4] }; { doomweapon:cyberdemon [weight: 10, min: 1, max: 1] }; { doomweapon:cyberdemon2016 [weight: 10, min: 1, max: 1] }; { doomweapon:gore_nest [weight: 30, min: 1, max: 1] }; { doomweapon:hellknight [weight: 10, min: 1, max: 1] }; { doomweapon:imp [weight: 30, min: 1, max: 4] }; { doomweapon:imp2016 [weight: 30, min: 1, max: 4] }; { doomweapon:mancubus [weight: 10, min: 1, max: 1] }; { doomweapon:marauder [weight: 15, min: 1, max: 1] }; { doomweapon:mechazombie [weight: 30, min: 1, max: 4] }; { doomweapon:nightmare_imp [weight: 30, min: 1, max: 4] }; { doomweapon:painelemental [weight: 8, min: 1, max: 2] }; { doomweapon:pinky [weight: 12, min: 2, max: 4] }; { doomweapon:possessed_scientist [weight: 30, min: 1, max: 4] }; { doomweapon:possessed_soldier [weight: 30, min: 1, max: 4] }; { doomweapon:revenant [weight: 10, min: 1, max: 1] }; { doomweapon:shotgunguy [weight: 30, min: 1, max: 4] }; { doomweapon:spiderdemon [weight: 10, min: 1, max: 1] }; { doomweapon:unwilling [weight: 30, min: 1, max: 4] }; { doomweapon:zombieman [weight: 30, min: 1, max: 4] }; { extendednether:piglin [weight: 15, min: 4, max: 4] }; { extendednether:zombified_piglin [weight: 25, min: 4, max: 4] }; { minecraft:ghast [weight: 60, min: 4, max: 4] }; { minecraft:magma_cube [weight: 2, min: 4, max: 4] }; { minecraft:zombie_pigman [weight: 100, min: 4, max: 4] }; { quark:foxhound [weight: 30, min: 1, max: 2] }; { extendednether:strider [weight: 100, min: 1, max: 2] }; { doomweapon:lost_soul [weight: 30, min: 1, max: 4] }                                                                                                                                              |
| 242 | byg:sythiantorrids                         | Sythian Torrids                         |            | NETHER                                                         | { doomweapon:arachnotron [weight: 30, min: 1, max: 4] }; { doomweapon:archvile [weight: 4, min: 1, max: 2] }; { doomweapon:baron [weight: 10, min: 1, max: 1] }; { doomweapon:cacodemon [weight: 8, min: 1, max: 2] }; { doomweapon:chaingunner [weight: 30, min: 1, max: 4] }; { doomweapon:cyberdemon [weight: 10, min: 1, max: 1] }; { doomweapon:cyberdemon2016 [weight: 10, min: 1, max: 1] }; { doomweapon:gore_nest [weight: 30, min: 1, max: 1] }; { doomweapon:hellknight [weight: 10, min: 1, max: 1] }; { doomweapon:imp [weight: 30, min: 1, max: 4] }; { doomweapon:imp2016 [weight: 30, min: 1, max: 4] }; { doomweapon:mancubus [weight: 10, min: 1, max: 1] }; { doomweapon:marauder [weight: 15, min: 1, max: 1] }; { doomweapon:mechazombie [weight: 30, min: 1, max: 4] }; { doomweapon:nightmare_imp [weight: 30, min: 1, max: 4] }; { doomweapon:painelemental [weight: 8, min: 1, max: 2] }; { doomweapon:pinky [weight: 12, min: 2, max: 4] }; { doomweapon:possessed_scientist [weight: 30, min: 1, max: 4] }; { doomweapon:possessed_soldier [weight: 30, min: 1, max: 4] }; { doomweapon:revenant [weight: 10, min: 1, max: 1] }; { doomweapon:shotgunguy [weight: 30, min: 1, max: 4] }; { doomweapon:spiderdemon [weight: 10, min: 1, max: 1] }; { doomweapon:unwilling [weight: 30, min: 1, max: 4] }; { doomweapon:zombieman [weight: 30, min: 1, max: 4] }; { extendednether:piglin [weight: 15, min: 4, max: 4] }; { extendednether:zombified_piglin [weight: 25, min: 4, max: 4] }; { minecraft:ghast [weight: 40, min: 4, max: 4] }; { minecraft:magma_cube [weight: 2, min: 4, max: 4] }; { minecraft:zombie_pigman [weight: 100, min: 4, max: 4] }; { quark:foxhound [weight: 30, min: 1, max: 2] }; { extendednether:strider [weight: 100, min: 1, max: 2] }; { doomweapon:lost_soul [weight: 30, min: 1, max: 4] }                                                                                                                                              |
| 243 | byg:glowstonegardens                       | Glowstone Gardens                       |            | NETHER                                                         | { doomweapon:arachnotron [weight: 30, min: 1, max: 4] }; { doomweapon:archvile [weight: 4, min: 1, max: 2] }; { doomweapon:baron [weight: 10, min: 1, max: 1] }; { doomweapon:cacodemon [weight: 8, min: 1, max: 2] }; { doomweapon:chaingunner [weight: 30, min: 1, max: 4] }; { doomweapon:cyberdemon [weight: 10, min: 1, max: 1] }; { doomweapon:cyberdemon2016 [weight: 10, min: 1, max: 1] }; { doomweapon:gore_nest [weight: 30, min: 1, max: 1] }; { doomweapon:hellknight [weight: 10, min: 1, max: 1] }; { doomweapon:imp [weight: 30, min: 1, max: 4] }; { doomweapon:imp2016 [weight: 30, min: 1, max: 4] }; { doomweapon:mancubus [weight: 10, min: 1, max: 1] }; { doomweapon:marauder [weight: 15, min: 1, max: 1] }; { doomweapon:mechazombie [weight: 30, min: 1, max: 4] }; { doomweapon:nightmare_imp [weight: 30, min: 1, max: 4] }; { doomweapon:painelemental [weight: 8, min: 1, max: 2] }; { doomweapon:pinky [weight: 12, min: 2, max: 4] }; { doomweapon:possessed_scientist [weight: 30, min: 1, max: 4] }; { doomweapon:possessed_soldier [weight: 30, min: 1, max: 4] }; { doomweapon:revenant [weight: 10, min: 1, max: 1] }; { doomweapon:shotgunguy [weight: 30, min: 1, max: 4] }; { doomweapon:spiderdemon [weight: 10, min: 1, max: 1] }; { doomweapon:unwilling [weight: 30, min: 1, max: 4] }; { doomweapon:zombieman [weight: 30, min: 1, max: 4] }; { extendednether:piglin [weight: 15, min: 4, max: 4] }; { extendednether:zombified_piglin [weight: 25, min: 4, max: 4] }; { minecraft:ghast [weight: 40, min: 4, max: 4] }; { minecraft:magma_cube [weight: 2, min: 4, max: 4] }; { minecraft:zombie_pigman [weight: 100, min: 4, max: 4] }; { quark:foxhound [weight: 30, min: 1, max: 2] }; { extendednether:strider [weight: 100, min: 1, max: 2] }; { doomweapon:lost_soul [weight: 30, min: 1, max: 4] }                                                                                                                                              |
| 244 | byg:embur_bog                              | Embur Bog                               |            | NETHER                                                         | { doomweapon:arachnotron [weight: 30, min: 1, max: 4] }; { doomweapon:archvile [weight: 4, min: 1, max: 2] }; { doomweapon:baron [weight: 10, min: 1, max: 1] }; { doomweapon:cacodemon [weight: 8, min: 1, max: 2] }; { doomweapon:chaingunner [weight: 30, min: 1, max: 4] }; { doomweapon:cyberdemon [weight: 10, min: 1, max: 1] }; { doomweapon:cyberdemon2016 [weight: 10, min: 1, max: 1] }; { doomweapon:gore_nest [weight: 30, min: 1, max: 1] }; { doomweapon:hellknight [weight: 10, min: 1, max: 1] }; { doomweapon:imp [weight: 30, min: 1, max: 4] }; { doomweapon:imp2016 [weight: 30, min: 1, max: 4] }; { doomweapon:mancubus [weight: 10, min: 1, max: 1] }; { doomweapon:marauder [weight: 15, min: 1, max: 1] }; { doomweapon:mechazombie [weight: 30, min: 1, max: 4] }; { doomweapon:nightmare_imp [weight: 30, min: 1, max: 4] }; { doomweapon:painelemental [weight: 8, min: 1, max: 2] }; { doomweapon:pinky [weight: 12, min: 2, max: 4] }; { doomweapon:possessed_scientist [weight: 30, min: 1, max: 4] }; { doomweapon:possessed_soldier [weight: 30, min: 1, max: 4] }; { doomweapon:revenant [weight: 10, min: 1, max: 1] }; { doomweapon:shotgunguy [weight: 30, min: 1, max: 4] }; { doomweapon:spiderdemon [weight: 10, min: 1, max: 1] }; { doomweapon:unwilling [weight: 30, min: 1, max: 4] }; { doomweapon:zombieman [weight: 30, min: 1, max: 4] }; { extendednether:piglin [weight: 15, min: 4, max: 4] }; { extendednether:zombified_piglin [weight: 25, min: 4, max: 4] }; { minecraft:blaze [weight: 40, min: 4, max: 4] }; { minecraft:magma_cube [weight: 100, min: 2, max: 5] }; { minecraft:zombie_pigman [weight: 80, min: 4, max: 4] }; { quark:foxhound [weight: 30, min: 1, max: 2] }; { extendednether:strider [weight: 100, min: 1, max: 2] }; { doomweapon:lost_soul [weight: 30, min: 1, max: 4] }                                                                                                                                             |
| 245 | byg:ivis_fields                            | Ivis Fields                             |            | END                                                            |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       |
| 246 | mubble:pumpkin_pastures                    | Pumpkin Pastures                        | WARM       | FOREST                                                         | { minecraft:creeper [weight: 100, min: 4, max: 4] }; { minecraft:enderman [weight: 10, min: 1, max: 4] }; { minecraft:skeleton [weight: 100, min: 4, max: 4] }; { minecraft:slime [weight: 100, min: 4, max: 4] }; { minecraft:spider [weight: 100, min: 4, max: 4] }; { minecraft:witch [weight: 5, min: 1, max: 1] }; { minecraft:zombie [weight: 95, min: 4, max: 4] }; { minecraft:zombie_villager [weight: 5, min: 1, max: 1] }; { quark:stoneling [weight: 80, min: 1, max: 1] }; { quark:toretoise [weight: 40, min: 1, max: 1] }; { betteranimalsplus:badger [weight: 7, min: 1, max: 2] }; { betteranimalsplus:blackbear [weight: 6, min: 1, max: 5] }; { betteranimalsplus:boar [weight: 9, min: 1, max: 4] }; { betteranimalsplus:brownbear [weight: 7, min: 1, max: 5] }; { betteranimalsplus:deer [weight: 16, min: 1, max: 4] }; { betteranimalsplus:feralwolf [weight: 7, min: 1, max: 6] }; { betteranimalsplus:goat [weight: 9, min: 1, max: 4] }; { betteranimalsplus:goose [weight: 15, min: 2, max: 5] }; { betteranimalsplus:pheasant [weight: 12, min: 1, max: 3] }; { betteranimalsplus:songbird [weight: 11, min: 1, max: 4] }; { betteranimalsplus:squirrel [weight: 8, min: 1, max: 3] }; { betteranimalsplus:turkey [weight: 11, min: 1, max: 3] }; { minecraft:chicken [weight: 10, min: 4, max: 4] }; { minecraft:cow [weight: 8, min: 4, max: 4] }; { minecraft:pig [weight: 10, min: 4, max: 4] }; { minecraft:sheep [weight: 12, min: 4, max: 4] }; { minecraft:wolf [weight: 5, min: 4, max: 4] }; { betteranimalsplus:butterfly [weight: 10, min: 1, max: 3] }; { minecraft:bat [weight: 10, min: 8, max: 8] }                                                                                                                                                                                                                                                                                                                                                      |
| 247 | mubble:pink_cherry_oak_forest              | Pink Cherry Oak Forest                  | COOL       | FOREST                                                         | { minecraft:creeper [weight: 100, min: 4, max: 4] }; { minecraft:enderman [weight: 10, min: 1, max: 4] }; { minecraft:skeleton [weight: 100, min: 4, max: 4] }; { minecraft:slime [weight: 100, min: 4, max: 4] }; { minecraft:spider [weight: 100, min: 4, max: 4] }; { minecraft:witch [weight: 5, min: 1, max: 1] }; { minecraft:zombie [weight: 95, min: 4, max: 4] }; { minecraft:zombie_villager [weight: 5, min: 1, max: 1] }; { quark:stoneling [weight: 80, min: 1, max: 1] }; { quark:toretoise [weight: 40, min: 1, max: 1] }; { betteranimalsplus:badger [weight: 7, min: 1, max: 2] }; { betteranimalsplus:blackbear [weight: 6, min: 1, max: 5] }; { betteranimalsplus:boar [weight: 9, min: 1, max: 4] }; { betteranimalsplus:brownbear [weight: 7, min: 1, max: 5] }; { betteranimalsplus:deer [weight: 16, min: 1, max: 4] }; { betteranimalsplus:feralwolf [weight: 7, min: 1, max: 6] }; { betteranimalsplus:goat [weight: 9, min: 1, max: 4] }; { betteranimalsplus:goose [weight: 15, min: 2, max: 5] }; { betteranimalsplus:pheasant [weight: 12, min: 1, max: 3] }; { betteranimalsplus:songbird [weight: 11, min: 1, max: 4] }; { betteranimalsplus:squirrel [weight: 8, min: 1, max: 3] }; { betteranimalsplus:turkey [weight: 11, min: 1, max: 3] }; { minecraft:chicken [weight: 10, min: 4, max: 4] }; { minecraft:cow [weight: 8, min: 4, max: 4] }; { minecraft:pig [weight: 10, min: 4, max: 4] }; { minecraft:sheep [weight: 12, min: 4, max: 4] }; { minecraft:wolf [weight: 5, min: 4, max: 4] }; { betteranimalsplus:butterfly [weight: 10, min: 1, max: 3] }; { minecraft:bat [weight: 10, min: 8, max: 8] }                                                                                                                                                                                                                                                                                                                                                      |
| 248 | mubble:white_cherry_oak_forest             | White Cherry Oak Forest                 | COOL       | FOREST                                                         | { minecraft:creeper [weight: 100, min: 4, max: 4] }; { minecraft:enderman [weight: 10, min: 1, max: 4] }; { minecraft:skeleton [weight: 100, min: 4, max: 4] }; { minecraft:slime [weight: 100, min: 4, max: 4] }; { minecraft:spider [weight: 100, min: 4, max: 4] }; { minecraft:witch [weight: 5, min: 1, max: 1] }; { minecraft:zombie [weight: 95, min: 4, max: 4] }; { minecraft:zombie_villager [weight: 5, min: 1, max: 1] }; { quark:stoneling [weight: 80, min: 1, max: 1] }; { quark:toretoise [weight: 40, min: 1, max: 1] }; { betteranimalsplus:badger [weight: 7, min: 1, max: 2] }; { betteranimalsplus:blackbear [weight: 6, min: 1, max: 5] }; { betteranimalsplus:boar [weight: 9, min: 1, max: 4] }; { betteranimalsplus:brownbear [weight: 7, min: 1, max: 5] }; { betteranimalsplus:deer [weight: 16, min: 1, max: 4] }; { betteranimalsplus:feralwolf [weight: 7, min: 1, max: 6] }; { betteranimalsplus:goat [weight: 9, min: 1, max: 4] }; { betteranimalsplus:goose [weight: 15, min: 2, max: 5] }; { betteranimalsplus:pheasant [weight: 12, min: 1, max: 3] }; { betteranimalsplus:songbird [weight: 11, min: 1, max: 4] }; { betteranimalsplus:squirrel [weight: 8, min: 1, max: 3] }; { betteranimalsplus:turkey [weight: 11, min: 1, max: 3] }; { minecraft:chicken [weight: 10, min: 4, max: 4] }; { minecraft:cow [weight: 8, min: 4, max: 4] }; { minecraft:pig [weight: 10, min: 4, max: 4] }; { minecraft:sheep [weight: 12, min: 4, max: 4] }; { minecraft:wolf [weight: 5, min: 4, max: 4] }; { betteranimalsplus:butterfly [weight: 10, min: 1, max: 3] }; { minecraft:bat [weight: 10, min: 8, max: 8] }                                                                                                                                                                                                                                                                                                                                                      |
| 249 | mubble:smw_desert                          | biome.mubble.smw_desert                 |            | DRY, HOT, SANDY                                                | { betteranimalsplus:tarantula [weight: 40, min: 1, max: 3] }; { minecraft:creeper [weight: 100, min: 4, max: 4] }; { minecraft:enderman [weight: 10, min: 1, max: 4] }; { minecraft:skeleton [weight: 100, min: 4, max: 4] }; { minecraft:slime [weight: 100, min: 4, max: 4] }; { minecraft:spider [weight: 100, min: 4, max: 4] }; { minecraft:witch [weight: 5, min: 1, max: 1] }; { minecraft:zombie [weight: 95, min: 4, max: 4] }; { minecraft:zombie_villager [weight: 5, min: 1, max: 1] }; { mubble:goomba [weight: 95, min: 4, max: 4] }; { quark:stoneling [weight: 80, min: 1, max: 1] }; { quark:toretoise [weight: 40, min: 1, max: 1] }; { betteranimalsplus:coyote [weight: 5, min: 1, max: 6] }; { minecraft:chicken [weight: 10, min: 4, max: 4] }; { minecraft:cow [weight: 8, min: 4, max: 4] }; { minecraft:pig [weight: 10, min: 4, max: 4] }; { minecraft:sheep [weight: 12, min: 4, max: 4] }; { minecraft:bat [weight: 10, min: 8, max: 8] }                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 |
| 250 | mubble:press_garden                        | Press Garden                            | ICY        | FOREST                                                         | { minecraft:creeper [weight: 100, min: 4, max: 4] }; { minecraft:enderman [weight: 10, min: 1, max: 4] }; { minecraft:skeleton [weight: 100, min: 4, max: 4] }; { minecraft:slime [weight: 100, min: 4, max: 4] }; { minecraft:spider [weight: 100, min: 4, max: 4] }; { minecraft:witch [weight: 5, min: 1, max: 1] }; { minecraft:zombie [weight: 95, min: 4, max: 4] }; { minecraft:zombie_villager [weight: 5, min: 1, max: 1] }; { quark:stoneling [weight: 80, min: 1, max: 1] }; { quark:toretoise [weight: 40, min: 1, max: 1] }; { betteranimalsplus:badger [weight: 7, min: 1, max: 2] }; { betteranimalsplus:blackbear [weight: 6, min: 1, max: 5] }; { betteranimalsplus:boar [weight: 9, min: 1, max: 4] }; { betteranimalsplus:brownbear [weight: 7, min: 1, max: 5] }; { betteranimalsplus:deer [weight: 16, min: 1, max: 4] }; { betteranimalsplus:feralwolf [weight: 7, min: 1, max: 6] }; { betteranimalsplus:goat [weight: 9, min: 1, max: 4] }; { betteranimalsplus:goose [weight: 15, min: 2, max: 5] }; { betteranimalsplus:pheasant [weight: 12, min: 1, max: 3] }; { betteranimalsplus:songbird [weight: 11, min: 1, max: 4] }; { betteranimalsplus:squirrel [weight: 8, min: 1, max: 3] }; { betteranimalsplus:turkey [weight: 11, min: 1, max: 3] }; { minecraft:chicken [weight: 10, min: 4, max: 4] }; { minecraft:cow [weight: 8, min: 4, max: 4] }; { minecraft:fox [weight: 8, min: 2, max: 4] }; { minecraft:pig [weight: 10, min: 4, max: 4] }; { minecraft:rabbit [weight: 4, min: 2, max: 3] }; { minecraft:sheep [weight: 12, min: 4, max: 4] }; { minecraft:wolf [weight: 8, min: 4, max: 4] }; { betteranimalsplus:butterfly [weight: 10, min: 1, max: 3] }; { minecraft:bat [weight: 10, min: 8, max: 8] }                                                                                                                                                                                                                                                     |
| 251 | mubble:scarlet_forest                      | Scarlet Forest                          | COOL       | DENSE, FOREST, SPOOKY                                          | { minecraft:creeper [weight: 100, min: 4, max: 4] }; { minecraft:enderman [weight: 10, min: 1, max: 4] }; { minecraft:skeleton [weight: 100, min: 4, max: 4] }; { minecraft:slime [weight: 100, min: 4, max: 4] }; { minecraft:spider [weight: 100, min: 4, max: 4] }; { minecraft:witch [weight: 5, min: 1, max: 1] }; { minecraft:zombie [weight: 95, min: 4, max: 4] }; { minecraft:zombie_villager [weight: 5, min: 1, max: 1] }; { quark:stoneling [weight: 80, min: 1, max: 1] }; { quark:toretoise [weight: 40, min: 1, max: 1] }; { betteranimalsplus:badger [weight: 7, min: 1, max: 2] }; { betteranimalsplus:blackbear [weight: 6, min: 1, max: 5] }; { betteranimalsplus:boar [weight: 9, min: 1, max: 4] }; { betteranimalsplus:brownbear [weight: 7, min: 1, max: 5] }; { betteranimalsplus:deer [weight: 16, min: 1, max: 4] }; { betteranimalsplus:feralwolf [weight: 7, min: 1, max: 6] }; { betteranimalsplus:goat [weight: 9, min: 1, max: 4] }; { betteranimalsplus:pheasant [weight: 12, min: 1, max: 3] }; { betteranimalsplus:songbird [weight: 11, min: 1, max: 4] }; { betteranimalsplus:squirrel [weight: 8, min: 1, max: 3] }; { betteranimalsplus:turkey [weight: 11, min: 1, max: 3] }; { minecraft:chicken [weight: 10, min: 4, max: 4] }; { minecraft:cow [weight: 8, min: 4, max: 4] }; { minecraft:pig [weight: 10, min: 4, max: 4] }; { minecraft:sheep [weight: 12, min: 4, max: 4] }; { betteranimalsplus:butterfly [weight: 10, min: 1, max: 3] }; { minecraft:bat [weight: 10, min: 8, max: 8] }                                                                                                                                                                                                                                                                                                                                                                                                                                                                |
